book_id,title,processed_dir,k,peak_rank,peak_index,peak_pos_norm,start_word,end_word,text_preview
113,The Secret Garden,secret_garden,5,1,1,0.0012437810945273632,100,400,A BIT OF EARTH?” XIII. “I AM COLIN” XIV. A YOUNG RAJAH XV. NEST BUILDING XVI. “I WON’T!” SAID MARY XVII. A TANTRUM XVIII. “THA’ MUNNOT WASTE NO TIME” XIX. “IT HAS COME!” XX. “I SHALL LIVE FOREVER—AND EVER—AND EVER!” XXI.
113,The Secret Garden,secret_garden,5,2,374,0.4651741293532338,37400,37700,"Magic in India, but I can’t make it. I just went into his room and I was so surprised to see him I stood and stared. And then he turned round and stared at me. And he thought I was a ghost or a dream and I thought perhap"
113,The Secret Garden,secret_garden,5,3,711,0.8843283582089553,71100,71400,content. Fears for the Eggs became things of the past. Knowing that your Eggs were as safe as if they were locked in a bank vault and the fact that you could watch so many curious things going on made setting a most ente
120,Treasure Island,treasure_island,5,1,1,0.0014619883040935672,100,400,"fall on! If not, If studious youth no longer crave, His ancient appetites forgot, Kingston, or Ballantyne the brave, Or Cooper of the wood and wave: So be it, also! And may I And all my pirates share the grave Where thes"
120,Treasure Island,treasure_island,5,2,59,0.08625730994152046,5900,6200,"if I can’t get away nohow, and they tip me the black spot, mind you, it’s my old sea-chest they’re after; you get on a horse--you can, can’t you? Well, then, you get on a horse, and go to--well, yes, I will!--to that ete"
120,Treasure Island,treasure_island,5,3,444,0.6491228070175439,44400,44700,"the narrows for the open sea. Suddenly the schooner in front of me gave a violent yaw, turning, perhaps, through twenty degrees; and almost at the same moment one shout followed another from on board; I could hear feet p"
175,The Phantom of the Opera,phantom_opera,5,1,49,0.05744431418522861,4900,5200,"is quite authentic, from M. Pedro Gailhard himself, the late manager of the Opera. Chapter II The New Margarita On the first landing, Sorelli ran against the Comte de Chagny, who was coming up-stairs. The count, who was "
175,The Phantom of the Opera,phantom_opera,5,2,55,0.06447831184056271,5500,5800,"had often said she meant to practise alone for the future. The whole thing was a mystery. The Comte de Chagny, standing up in his box, listened to all this frenzy and took part in it by loudly applauding. Philippe George"
175,The Phantom of the Opera,phantom_opera,5,3,663,0.7772567409144197,66300,66600,"we were going to fight a duel. I said: ""Yes; and what a duel!"" But, of course, I had no time to explain anything to him. The little viscount is a brave fellow, but he knew hardly anything about his adversary; and it was "
345,Dracula,dracula,5,1,128,0.07945375543140906,12800,13100,"days are over. Blood is too precious a thing in these days of dishonourable peace; and the glories of the great races are as a tale that is told.” It was by this time close on morning, and we went to bed. (_Mem._, this d"
345,Dracula,dracula,5,2,135,0.08379888268156424,13500,13800,"himself on these points of which he had spoken, and I had verified all as well as I could by the books available, he suddenly stood up and said:-- “Have you written since your first letter to our friend Mr. Peter Hawkins"
345,Dracula,dracula,5,3,752,0.46679081315952825,75200,75500,"It was terribly weak, and looked quite emaciated. It too, when partially restored, had the common story to tell of being lured away by the “bloofer lady.” CHAPTER XIV MINA HARKER’S JOURNAL _23 September_.--Jonathan is be"
521,Robinson Crusoe,robinson_crusoe,5,1,1,0.0008285004142502071,100,400,"CANNIBALS CHAPTER XVII—VISIT OF MUTINEERS CHAPTER XVIII—THE SHIP RECOVERED CHAPTER XIX—RETURN TO ENGLAND CHAPTER XX—FIGHT BETWEEN FRIDAY AND A BEAR CHAPTER I. START IN LIFE I was born in the year 1632, in the city of Yor"
521,Robinson Crusoe,robinson_crusoe,5,2,378,0.3131731565865783,37800,38100,"bestirred myself to furnish myself with everything that I wanted, and make my way of living as regular as I could. From the 4th of July to the 14th I was chiefly employed in walking about with my gun in my hand, a little"
521,Robinson Crusoe,robinson_crusoe,5,3,443,0.36702568351284176,44300,44600,"in England, without any order of mine, to pack it up among my goods, and for assisting me afterwards to save it out of the wreck of the ship. Thus, and in this disposition of mind, I began my third year; and though I hav"
768,Wuthering Heights,wuthering_heights,5,1,727,0.6283491789109766,72700,73000,"village? She said he had only been twice, on horseback, accompanying his father; and both times he pretended to be quite knocked up for three or four days afterwards. That housekeeper left, if I recollect rightly, two ye"
768,Wuthering Heights,wuthering_heights,5,2,960,0.8297320656871219,96000,96300,"pony Minny, if I would get the key of our room, and let her out; but I told her she had nothing to give, they were all, all mine. And then she cried, and took a little picture from her neck, and said I should have that; "
768,Wuthering Heights,wuthering_heights,5,3,1135,0.9809853068280034,113500,113800,"within two yards’ distance. And whatever it was, it communicated, apparently, both pleasure and pain in exquisite extremes: at least the anguished, yet raptured, expression of his countenance suggested that idea. The fan"
1184,The Count of Monte Cristo,count_monte_cristo,5,1,786,0.17060994139353158,78600,78900,"wall in characters of flame—if he slept for a moment the wildest dreams haunted his brain. He ascended into grottos paved with emeralds, with panels of rubies, and the roof glowing with diamond stalactites. Pearls fell d"
1184,The Count of Monte Cristo,count_monte_cristo,5,2,2681,0.5819405252876059,268100,268400,"rainbow when it disappears, pass through all the prismatic shades, after which they were sent to the kitchen. Their agony formed part of their merit—if they were not seen alive, they were despised when dead.” “Yes,” said"
1184,The Count of Monte Cristo,count_monte_cristo,5,3,3391,0.7360538311265465,339100,339400,meteor seen passing inauspiciously between two clouds in a stormy sky. Chapter 81. The Room of the Retired Baker The evening of the day on which the Count of Morcerf had left Danglars’ house with feelings of shame and an
1257,The Three Musketeers,three_musketeers,5,1,1,0.0004363001745200698,100,400,"THICKENS Chapter XII. GEORGE VILLIERS, DUKE OF BUCKINGHAM Chapter XIII. MONSIEUR BONACIEUX Chapter XIV. THE MAN OF MEUNG Chapter XV. MEN OF THE ROBE AND MEN OF THE SWORD Chapter XVI. IN WHICH M. SÉGUIER, KEEPER OF THE SE"
1257,The Three Musketeers,three_musketeers,5,2,601,0.26221640488656195,60100,60400,"tempting demon, to have recourse to the bell rope, and ring with all his might. At the denunciating sound, the monks would be rendered aware that temptation was besieging a brother, and all the community would go to pray"
1257,The Three Musketeers,three_musketeers,5,3,994,0.4336823734729494,99400,99700,"that is a serious infraction of the rule—for eggs are meat, since they engender chickens.” “This feast is not very succulent; but never mind, I will put up with it for the sake of remaining with you.” “I am grateful to y"
1260,Jane Eyre,jane_eyre,5,1,1,0.0005402485143165856,100,400,"Press, for the fair field its honest suffrage has opened to an obscure aspirant. To my Publishers, for the aid their tact, their energy, their practical sense and frank liberality have afforded an unknown and unrecommend"
1260,Jane Eyre,jane_eyre,5,2,1245,0.6726094003241491,124500,124800,"it by any legal proceedings: for the doctors now discovered that _my wife_ was mad—her excesses had prematurely developed the germs of insanity. Jane, you don’t like my narrative; you look almost sick—shall I defer the r"
1260,Jane Eyre,jane_eyre,5,3,1252,0.6763911399243652,125200,125500,"was past in a second. “A wind fresh from Europe blew over the ocean and rushed through the open casement: the storm broke, streamed, thundered, blazed, and the air grew pure. I then framed and fixed a resolution. While I"
1342,Pride and Prejudice,pride_prejudice,5,1,51,0.04012588512981904,5100,5400,"[Illustration: “He came down to see the place” [_Copyright 1894 by George Allen._]] This was invitation enough. “Why, my dear, you must know, Mrs. Long says that Netherfield is taken by a young man of large fortune from "
1342,Pride and Prejudice,pride_prejudice,5,2,499,0.39260424862313137,49900,50200,"and good conduct, I am sure. You must not disappoint your father.” “My dear aunt, this is being serious indeed.” “Yes, and I hope to engage you to be serious likewise.” “Well, then, you need not be under any alarm. I wil"
1342,Pride and Prejudice,pride_prejudice,5,3,871,0.6852871754523997,87100,87400,"it seemed long, was not long enough to determine her feelings towards _one_ in that mansion; and she lay awake two whole hours, endeavouring to make them out. She certainly did not hate him. No; hatred had vanished long "
1513,Romeo and Juliet,romeo_juliet,5,1,42,0.16342412451361868,4200,4500,"happy nights to happy days. [_Exeunt._] SCENE IV. A Street. Enter Romeo, Mercutio, Benvolio, with five or six Maskers; Torch-bearers and others. ROMEO. What, shall this speech be spoke for our excuse? Or shall we on with"
1513,Romeo and Juliet,romeo_juliet,5,2,48,0.1867704280155642,4800,5100,"mind the fairies’ coachmakers. And in this state she gallops night by night Through lovers’ brains, and then they dream of love; O’er courtiers’ knees, that dream on curtsies straight; O’er lawyers’ fingers, who straight"
1513,Romeo and Juliet,romeo_juliet,5,3,87,0.33852140077821014,8700,9000,"the earth doth live But to the earth some special good doth give; Nor aught so good but, strain’d from that fair use, Revolts from true birth, stumbling on abuse. Virtue itself turns vice being misapplied, And vice somet"
1661,The Adventures of Sherlock Holmes,adventures_sherlock_holmes,5,1,417,0.3998082454458293,41700,42000,"laudanum in an attempt to produce the same effects. He found, as so many more have done, that the practice is easier to attain than to get rid of, and for many years he continued to be a slave to the drug, an object of m"
1661,The Adventures of Sherlock Holmes,adventures_sherlock_holmes,5,2,540,0.5177372962607862,54000,54300,"shade instead of ruby red. In spite of its youth, it has already a sinister history. There have been two murders, a vitriol-throwing, a suicide, and several robberies brought about for the sake of this forty-grain weight"
1661,The Adventures of Sherlock Holmes,adventures_sherlock_holmes,5,3,860,0.8245445829338447,86000,86300,"at once. I could, of course, borrow so trifling a sum ten times over from my friends, but I much prefer to make it a matter of business and to carry out that business myself. In my position you can readily understand tha"
